,Topology,Label,Density,VF,GSA,LCD,PLD,GAV,∆∆A_total,∆∆A_total_err,Source,U_0K
327,kfi,3D,0.406857,0.56676,2841.69,33.02016,16.57024,1.39302,,,,109.293
328,knba,3D,0.36903,0.61386,2836.68,42.73331,15.5112,1.66344,,,,104.493
329,kts,3D,0.377274,0.58958,2876.25,26.84779,18.82351,1.56274,,,,117.138
330,lcsa,3D,0.249662,0.7281,3221.02,32.47221,24.60816,2.91634,,,,118.061
331,lcva,3D,0.162076,0.82798,2939.72,57.04984,44.57991,5.1086,,,,112.607
332,lev,3D,0.300614,0.64278,3704.22,33.04622,21.34184,2.13822,,,,150.928
333,ltl,3D,0.323087,0.63108,3372.15,47.49556,38.86641,1.95328,,,,137.891
334,lxx,3D,0.518253,0.42822,3071.56,16.34261,11.30946,0.826277,,,,116.877
335,maz,3D,0.307291,0.63322,3787.8,38.08275,34.30238,2.06065,,,,157.643
336,mds,3D,0.467558,0.46176,3397.04,23.70075,10.04291,0.9876,,,,190.525
337,med,3D,0.397127,0.56654,3031.99,26.66016,16.81758,1.4266,,,,115.15
338,mep,3D,0.336265,0.58646,4251.5,28.57147,12.78123,1.74404,,,,161.073
339,mft,3D,0.278371,0.6824,3499.39,44.10005,34.34653,2.45141,,,,197.251
340,mgzxd,3D,0.327236,0.59718,4255.94,31.37811,13.2248,1.82492,,,,165.931
341,msd,3D,0.402192,0.53042,3620.3,27.64342,11.83275,1.31882,,,,137.226
342,mtn,3D,0.49524,0.44694,3160.05,23.66446,10.53179,0.902471,,,,116.251
343,nfb,3D,0.479308,0.49714,2569.92,31.98496,10.33275,1.0372,,,,132.745
344,nog,3D,0.482035,0.45966,3129.27,23.09463,16.76922,0.953583,,,,121.567
345,odf,3D,0.553104,0.40672,2752.58,24.27613,10.82586,0.735342,,,,107.586
346,odh,3D,0.443249,0.47932,3548.61,28.12841,12.28216,1.08138,,,,134.037
347,poz,3D,0.295761,0.69944,2647.62,51.94531,22.86918,2.36488,,,,104.956
348,rad,3D,0.279612,0.6652,3952.15,38.28408,34.49301,2.37901,,,,167.13
349,rho,3D,0.244956,0.70372,3932.6,48.73414,22.00386,2.87284,,,,173.644
350,sdt,3D,0.372945,0.5454,4045.86,27.78797,12.42706,1.46241,,,,152.199
351,tdc,3D,0.219376,0.7677,2883.06,81.72849,79.42642,3.49948,,,,123.678
352,tdd,3D,0.183315,0.80766,2721.37,111.76881,110.20693,4.40586,,,,123.061
353,twfa,3D,0.459322,0.499,2991.23,24.47413,13.41608,1.08638,,,,112.739
354,ucw,3D,0.345651,0.63884,2733.52,57.89338,21.77288,1.84822,,,,108.865
355,ukx,3D,0.503688,0.4831,2500.71,22.82504,16.17138,0.959126,,,,110.315
356,uky,3D,0.401484,0.54136,3244.47,26.90912,20.53357,1.3484,,,,133.324
357,ulg,3D,0.315257,0.67998,2588.93,38.22906,27.98375,2.15691,,,,105.021
358,ulh,3D,0.5152,0.51126,1784.82,27.50098,20.7322,0.992352,29.63184956,8.177163322,,93.731
359,uli,3D,0.346767,0.6331,2951.77,27.05073,18.23235,1.82572,,,,110.195
360,ull,3D,0.506491,0.42382,3368.44,25.09612,9.71934,0.836777,,,,119.496
361,uma,3D,0.414932,0.57408,2600.38,28.56186,22.47834,1.38355,,,,107.529
362,umg,3D,0.604705,0.39408,2258.22,18.48958,12.65019,0.651689,,,,102.152
363,uml,3D,0.39774,0.58622,2407.97,34.26743,31.79578,1.47388,,,,114.853
364,umn,3D,0.342573,0.61636,3260.15,32.70615,28.87354,1.79921,,,,125.937
365,umr,3D,0.375043,0.56542,3574.3,24.66567,21.10337,1.50761,,,,136.054
366,ums,3D,0.365189,0.5769,3593.35,30.16316,26.67159,1.57973,,,,138.526
367,umu,3D,0.347281,0.58232,3899.83,28.21586,21.28696,1.6768,,,,161.678
368,umv,3D,0.36255,0.5651,3892.79,23.12389,16.77179,1.55868,,,,155.304
369,unb,3D,0.389881,0.52008,4227.53,22.50062,12.02,1.33395,,,,181.593
370,ung,3D,0.347254,0.58792,3725.02,28.99225,26.36869,1.69305,,,,150.343
371,unl,3D,0.472613,0.43358,3809.26,14.42011,10.9194,0.91741,,,,154.116
372,unr,3D,0.414387,0.57162,2774.31,23.70107,15.97914,1.37944,,,,101.865
373,uns,3D,0.501085,0.4251,3342.34,20.78405,9.12367,0.84836,,,,133.334
374,unt,3D,0.542339,0.44744,2320.01,27.47956,16.52808,0.825019,,,,99.626
375,unu,3D,0.485401,0.44452,3552.16,13.97812,11.20808,0.915778,,,,125.878
376,uoa,3D,0.527296,0.44712,2698.58,20.90108,18.1019,0.847949,,,,107.97
377,uod,3D,0.422863,0.517,3458.76,18.5676,14.3511,1.22262,,,,144.846
378,uoe,3D,0.518886,0.4547,2536.68,24.36261,20.24209,0.8763,,,,107.249
379,uof,3D,0.410269,0.52782,3519.57,18.83812,15.28754,1.28652,,,,155.103
380,uoh,3D,0.382515,0.56326,3521,24.2661,20.75799,1.47252,,,,145.986
381,uoi,3D,0.557336,0.42524,2505.73,19.50926,15.12215,0.762987,,,,107.662
