,Topology,Label,Density,VF,GSA,LCD,PLD,GAV,∆∆A_total,∆∆A_total_err,Source,U_0K
44,bay,3D,0.400338,0.48356,3894.77,23.82788,14.13054,1.20788,,,,192.723
45,bba,3D,0.403724,0.46912,4085.6,19.30687,11.43383,1.16198,,,,206.064
46,bbb,3D,0.379159,0.51936,3717.38,22.663,18.04152,1.36977,,,,199.494
47,bbc,3D,0.379899,0.52144,3698.2,22.88253,15.38222,1.37258,,,,199.528
48,bbd,3D,0.355095,0.55884,3413.39,34.8836,19.73391,1.57378,,,,192.209
49,bbg,3D,0.625638,0.24766,2975.1,10.89797,7.59928,0.395852,,,,165.563
50,bbh,3D,0.461419,0.41786,3621.85,16.28734,12.11946,0.905598,,,,176.786
51,bbi,3D,0.397017,0.50236,3718.24,16.95759,12.33348,1.26534,,,,183.717
52,bbj,3D,0.395098,0.49572,3878.86,17.75862,12.7119,1.25468,,,,188.365
53,bbk,3D,0.541986,0.33486,3168.47,16.15867,11.8448,0.617838,,,,172.76
54,bbl,3D,0.483463,0.37776,3787.32,13.77134,9.81612,0.781363,,,,194.512
55,bbm,3D,0.374913,0.51634,3948.86,17.53349,13.75553,1.37723,,,,195.85
56,bbr,3D,0.45487,0.45982,3103.71,20.64639,17.32921,1.01088,,,,162.994
57,bcb,3D,0.304677,0.61172,3710.11,37.88466,29.7386,2.00776,,,,205.431
58,bcd,3D,0.306535,0.628,3265.37,40.60907,36.91711,2.04871,,,,188.93
59,bce,3D,0.322918,0.61124,3037.64,34.67272,30.82133,1.89286,,,,179.96
60,bcf,3D,0.278002,0.65922,3179.17,46.10566,40.55622,2.37128,,,,189.016
61,bcm,3D,0.508484,0.34464,3664.94,13.29463,9.29408,0.67778,,,,191.662
62,bcn,3D,0.471563,0.41694,3525.56,15.63277,10.32067,0.884166,,,,178.415
63,bco,3D,0.452831,0.42304,3691.76,15.77182,12.26278,0.934211,,,,195.382
64,bcp,3D,0.40148,0.49442,3626.16,20.69448,17.09008,1.23149,,,,204.451
65,bcx,3D,0.401894,0.5219,2994.25,24.26297,14.39872,1.2986,,,,174.93
66,bel,3D,0.347341,0.56758,3578.18,23.3431,18.79027,1.63407,,,,176.658
67,bik,3D,0.384918,0.49544,4002.23,22.9959,16.95046,1.28713,,,,208.501
68,bnl,3D,0.51507,0.39806,2905.83,19.55905,12.90054,0.772827,,,,161.242
69,byl,3D,0.426212,0.44264,4015.07,15.90685,10.60314,1.03854,,,,195.476
70,cag,3D,0.407655,0.46894,4064.46,17.21741,11.00702,1.15033,,,,202.402
71,can,3D,0.348825,0.5462,3923.12,25.66755,23.27056,1.56583,,,,211.117
72,cbn,3D,0.386607,0.48562,4241.48,17.99442,13.67811,1.25611,,,,219.282
73,cbo,3D,0.383119,0.515,3818.33,22.08883,12.78933,1.34423,,,,189.564
74,cbt,3D,0.355158,0.54524,3866.98,22.2058,16.27597,1.5352,,,,194.611
75,cda,3D,0.498124,0.37206,3490.51,17.18074,12.07268,0.746923,,,,203.266
76,cdp,3D,0.459841,0.41474,3740.26,15.70793,11.43119,0.90192,,,,182.456
77,cea,3D,0.32031,0.59116,3717.18,28.45304,22.66968,1.84559,,,,206.564
78,cena,3D,0.314252,0.61926,3488.2,38.31387,19.35251,1.97058,,,,174.123
79,cfc,3D,0.696195,0.24948,2073.33,14.09012,10.26634,0.358348,,,,177.583
80,cgs,3D,0.315296,0.6082,3471.96,29.36916,23.33358,1.92898,,,,198.057
81,cnw,3D,0.38892,0.48442,4175.77,18.42166,13.78518,1.24555,,,,221.009
82,coe,3D,0.656346,0.23242,2520.08,12.08794,7.68769,0.354112,,,,172.467
83,coi,3D,0.680669,0.24456,2226.87,13.18934,9.54111,0.359293,,,,157.971
84,crb,3D,0.467398,0.41912,3578.43,16.67859,12.12394,0.896709,,,,173.384
85,crba,3D,0.367335,0.59376,2781.78,29.42921,25.59583,1.6164,,,,147.549
86,cua,3D,0.354427,0.59698,2742.32,30.92987,23.21434,1.68435,,,,165.026
87,cus,3D,0.394327,0.50486,3634.52,20.7645,14.95657,1.28031,,,,190.929
88,dei,3D,0.28247,0.67346,2717.05,36.36703,27.69621,2.38419,,,,176.444
89,dft,3D,0.424767,0.48542,3304.11,19.79992,15.55809,1.14279,,,,168.761
90,dia,3D,0.449756,0.41174,4103.27,13.45832,10.2174,0.915475,,,,190.463
91,diaa,3D,0.399958,0.55968,2725.66,24.59349,19.7262,1.39935,,,,143.037
92,dmp,3D,0.787871,0.15074,1755.05,11.57879,6.29137,0.191326,,,,149.865
93,doh,3D,0.361498,0.51606,4186.81,33.07383,10.86576,1.42756,,,,205.943
94,edi,3D,0.432652,0.49976,3018.58,18.85237,14.53778,1.15511,,,,156.185
95,fel,3D,0.454539,0.46434,3001.87,20.30423,15.04593,1.02156,,,,164.016
96,fte,3D,0.340252,0.58454,3316.6,31.79838,24.2202,1.71796,,,,181.575
97,ftk,3D,0.299204,0.63526,3344.49,43.51895,41.14448,2.12317,,,,189.257
98,ftl,3D,0.204641,0.7616,3097.51,52.34748,34.68011,3.72165,,,,161.305
99,ftn,3D,0.309211,0.61758,3614.54,33.76831,14.46578,1.99728,,,,172.778
100,fto,3D,0.288742,0.65656,3417.17,36.11978,20.37585,2.27387,,,,163.402
101,ftp,3D,0.332347,0.59256,3497.04,31.59284,13.1585,1.78296,,,,167.292
102,fum,3D,0.309622,0.63112,3160.62,43.52726,32.60444,2.03836,,,,178.128
103,fup,3D,0.350117,0.57524,3305.77,32.74102,20.56815,1.64299,,,,181.388
104,fvb,3D,0.311579,0.59892,3786.05,33.15007,19.88328,1.92221,,,,214.684
105,fve,3D,0.332763,0.57476,3625.52,35.56793,17.38534,1.72724,,,,197.259
106,fvk,3D,0.338356,0.56806,3744.88,32.09914,24.13545,1.67888,,,,208.723
107,fvn,3D,0.333026,0.58588,3472.43,37.31897,29.87162,1.75926,,,,187.306
108,fvu,3D,0.382467,0.51232,3659.88,26.00559,17.59243,1.33951,,,,200.001
109,fvw,3D,0.479191,0.44342,2792.12,23.44065,14.08789,0.925351,,,,155.505
110,gcc,3D,0.268351,0.66914,3353.11,47.89946,45.0091,2.49353,,,,189.266
111,gis,3D,0.30222,0.61724,3629.15,28.01344,20.06916,2.04235,,,,220.014
112,gme,3D,0.328974,0.59118,3456.46,30.67181,24.96436,1.79704,,,,191.408
113,gsi,3D,0.516499,0.34254,3621.88,12.61387,9.06766,0.663196,,,,186.363
114,hbo,3D,0.383558,0.53794,3350.68,27.24862,15.45105,1.4025,,,,173.672
115,icm,3D,0.365874,0.55164,3444.96,23.76676,17.40116,1.50773,,,,177.849
116,icv,3D,0.622598,0.26454,2772.11,12.19068,7.76262,0.424897,,,,174.41
117,irl,3D,0.544353,0.3711,2747.53,14.82352,13.53774,0.681727,,,,151.324
118,isk,3D,0.400982,0.48608,3742.48,23.0598,10.88411,1.21222,,,,189.781
119,isl,3D,0.419923,0.46582,3646.47,22.58609,10.76738,1.1093,,,,183.676
120,isp,3D,0.358081,0.5314,4079.79,25.19812,11.18332,1.48402,,,,213.464
121,isq,3D,0.356457,0.52508,4168.33,22.7855,14.65221,1.47305,,,,216.978
122,iss,3D,0.380266,0.51346,3764.41,25.33438,13.56024,1.35026,,,,203.401
123,isy,3D,0.365983,0.5219,3840.6,25.47834,13.38052,1.42602,,,,202.128
124,itv,3D,0.746313,0.15508,2116.52,10.72129,6.35076,0.207795,,,,159.064
125,kea,3D,0.430934,0.4496,3711.75,16.93274,13.18702,1.04332,,,,205.843
126,ket,3D,0.343659,0.58014,3453.95,27.28553,23.63027,1.68813,,,,180.882
127,kwo,3D,0.375111,0.51572,3867.49,24.44085,11.28594,1.37485,,,,196.433
128,lcs,3D,0.503148,0.36488,3584.66,14.06331,9.56077,0.725194,,,,176.963
129,lcya,3D,0.301461,0.64126,3195.55,27.34988,24.65048,2.12717,,,,164.404
130,lon,3D,0.414865,0.43742,4421.54,14.64766,10.52132,1.05437,,,,216.688
131,lona,3D,0.276932,0.68062,3148.52,31.89417,21.66561,2.45771,,,,152.537
