,Topology,Label,Density,VF,GSA,LCD,PLD,GAV,∆∆A_total,∆∆A_total_err,Source,U_0K
159,sod,3D,0.454476,0.48008,3082.32,24.13226,11.99178,1.05634,,,,233.171
160,sow,3D,1.10356,0,0,8.81047,3.03587,0,31.527,8.231,,167.228
161,sra,3D,0.443066,0.49396,3106.08,21.44813,15.04015,1.11487,,,,250.504
162,srb,3D,0.607664,0.3856,2072.55,20.30974,14.65176,0.634561,,,,179.653
163,thj,3D,0.826248,0.20722,1529.07,13.32756,9.74924,0.250796,,,,171.263
164,tpd,3D,0.494796,0.43746,3068.55,21.14974,12.5441,0.884122,,,,235.924
165,tsja,3D,0.364139,0.61308,2731.01,28.31646,23.39896,1.68364,,,,192.056
166,tzs,3D,0.504662,0.42196,3017.13,18.23083,14.66079,0.836123,,,,226.033
167,ucn,3D,0.466383,0.49708,2746.18,19.40903,14.83085,1.06582,,,,205.855
168,umb,3D,0.516706,0.49978,1901.28,27.70021,22.89146,0.967243,,,,173.925
169,umc,3D,0.574493,0.4128,2221.79,17.69904,13.64756,0.718547,,,,188.955
170,umd,3D,0.70468,0.30934,1673.53,17.58508,12.21925,0.438979,,,,291.812
171,umf,3D,0.632025,0.35996,2086.22,16.81409,12.83677,0.569534,,,,180.035
172,umi,3D,0.460862,0.47598,3063.91,19.19569,15.32231,1.0328,,,,240.797
173,umk,3D,0.402717,0.543,2977.7,34.17031,29.28216,1.34834,,,,243.935
174,umm,3D,0.584036,0.45024,1597.17,29.35878,22.29156,0.770911,,,,172.413
175,umo,3D,0.454927,0.53094,2183.95,32.86918,27.99423,1.16709,,,,200.851
176,umq,3D,0.454721,0.48364,3100.28,21.83719,15.23839,1.0636,,,,242.2
177,umw,3D,0.526175,0.43596,2437.64,24.84812,17.4825,0.828545,,,,212.696
178,umx,3D,0.567715,0.39592,2271.95,21.48931,19.78188,0.697392,,,,201.426
179,umy,3D,0.509236,0.43266,2920.68,18.32729,12.42363,0.849626,,,,235.269
180,umz,3D,0.579067,0.39768,2241.04,21.57024,17.57493,0.68676,,,,204.26
181,una,3D,0.555485,0.38446,2508.58,28.2802,22.56454,0.692116,,,,226.467
182,unc,3D,0.563176,0.35362,2824.94,16.45409,12.38155,0.627903,,,,242.08
183,und,3D,0.559306,0.36382,2839.79,16.97008,13.36086,0.650484,,,,241.293
184,une,3D,0.729366,0.24168,2000.09,14.5283,8.36512,0.331356,,,,203.752
