Topology,Label,Density,VF,GSA,LCD,PLD,GAV,∆∆A_total,∆∆A_total_err,Source,U_0K
aww,3D,0.572,0.424,2419.55,23.118,15.223,0.741,28.055,8.212,Calculated,-30.583
baa,3D,0.788,0.232,2023.17,13.455,7.001,0.294,25.1,8.177,Calculated,-35.86
bab,3D,0.321,0.634,3660.63,25.921,21.378,1.973,46.346,8.205,Calculated,-11.386
bac,3D,0.375,0.555,4167.58,20.405,15.004,1.481,55.277,8.212,Calculated,-1.982
baf,3D,0.383,0.552,3850.54,21.659,18.099,1.442,47.863,8.205,Calculated,-8.673
bal,3D,0.382,0.575,3380.92,23.103,18.951,1.505,44.96,8.241,Calculated,-13.243
bao,3D,0.322,0.612,4240.33,24.457,15.703,1.903,66.692,8.226,Calculated,10.592
bap,3D,0.248,0.708,3785.64,38.992,29.748,2.855,57.972,8.191,Calculated,1.38
bay,3D,0.315,0.611,4500.14,25.55,17.326,1.94,82.44,8.226,Calculated,25.174
bba,3D,0.335,0.587,4472.93,21.744,12.589,1.75,77.964,8.177,Calculated,20.774
bbb,3D,0.325,0.602,4301.48,22.421,18.222,1.853,68.891,8.219,Calculated,11.851
bbc,3D,0.507,0.45,3126.48,18.597,12.453,0.886,36.04,8.219,Calculated,-21.523
bbd,3D,0.355,0.585,3720.25,31.28,20.03,1.65,50.923,8.205,Calculated,-6.066
bbg,3D,0.553,0.348,3824.58,11.729,8.618,0.629,49.919,8.255,Calculated,-7.705
bbh,3D,0.647,0.33,2647.41,12.932,9.65,0.51,32.525,8.198,Calculated,-26.604
bbi,3D,0.479,0.473,3334.07,16.568,11.717,0.988,38.449,8.156,Calculated,-20.715
bbj,3D,0.553,0.407,3037.85,14.723,9.875,0.735,33.331,8.205,Calculated,-23.848
bbk,3D,0.681,0.294,2480.61,14.218,9.261,0.432,27.854,8.24,Calculated,-29.917
bbl,3D,0.779,0.216,2173.12,12.866,7.047,0.277,24.869,8.17,Calculated,-34.006
bbm,3D,0.372,0.567,4032.29,18.468,13.642,1.524,51.336,8.212,Calculated,-6.328
bbr,3D,0.535,0.432,2865.79,19.615,13.159,0.807,30.038,8.24,Calculated,-24.142
bcb,3D,0.35,0.597,3531.45,33.958,30.13,1.706,45.042,8.212,Calculated,-12.542
bcd,3D,0.418,0.568,2737.34,35.009,29.96,1.358,33.17,8.205,Calculated,-25.121
bce,3D,0.376,0.592,3084.79,31.035,26.555,1.575,39.861,8.156,Calculated,-18.505
bcf,3D,0.319,0.653,3114.05,41.058,35.046,2.044,39.593,8.212,Calculated,-18.177
bcm,3D,0.682,0.292,2501.75,14.093,8.802,0.428,28.204,8.156,Calculated,-29.807
bcn,3D,0.649,0.319,2752.45,13.612,9.136,0.492,29.067,8.191,Calculated,-28.245
bco,3D,0.642,0.328,2794.74,13.327,9.635,0.511,27.517,8.205,Calculated,-26.808
bcp,3D,0.873,0.173,1657.48,11.36,8.181,0.198,18.998,8.12,Calculated,-38.524
bcx,3D,0.511,0.478,2553.21,22.332,14.904,0.936,29.023,8.184,Calculated,-27.081
