Topology,Label,Density,VF,GSA,LCD,PLD,GAV,∆∆A_total,∆∆A_total_err,Source,U_0K
ure,3D,1.087,0.059,1048.470,7.027,4.678,0.055,25.924,8.204,Calculated,52.284
wje,3D,0.476,0.466,3659.650,15.127,12.492,0.978,,,,85.078
wjf,3D,0.372,0.583,3706.500,23.214,20.744,1.567,,,,121.11
wjg,3D,0.728,0.258,2373.050,11.759,8.913,0.355,,,,63.263
wjh,3D,0.274,0.683,3972.110,39.931,37.681,2.493,,,,104.521
wji,3D,0.385,0.565,3807.140,27.006,25.157,1.469,,,,90.01
wut,3D,0.613,0.357,2961.320,13.134,9.015,0.582,,,,73.51
xbya,3D,0.354,0.664,2562.920,29.328,24.916,1.876,29.281,8.19,Calculated,60.096
yug,3D,0.319,0.628,4186.210,23.981,20.211,1.969,,,,103.711
zni,3D,0.595,0.325,3574.920,12.782,10.055,0.545,,,,92.268
zsn,3D,0.402,0.540,3855.890,18.838,15.353,1.341,,,,86.607
afwa,3D,0.267,0.734,2880.690,32.149,24.480,2.752,,,,63.962
afx,3D,0.253,0.703,4178.640,34.270,22.473,2.780,,,,121.363
ana,3D,0.333,0.613,3882.790,22.942,16.048,1.839,,,,104.501
anaa,3D,0.186,0.804,3255.320,46.628,30.459,4.314,,,,80.483
ast,3D,0.297,0.655,4042.010,32.775,14.501,2.206,,,,100.543
ato,3D,0.319,0.621,4251.650,31.176,27.197,1.948,,,,114.272
bag,3D,0.122,0.884,2483.880,91.868,50.629,7.221,,,,63.832
bah,3D,0.132,0.876,2271.880,102.357,59.715,6.633,,,,62.89
baj,3D,0.178,0.833,2316.820,81.811,44.352,4.682,,,,65.477
bak,3D,0.177,0.817,2995.690,#N/A,#N/A,4.618,,,,76.3
bam,3D,0.203,0.778,3541.240,64.225,61.203,3.839,,,,96.226
ban,3D,0.263,0.722,3150.980,39.594,34.152,2.741,,,,76.723
baq,3D,0.164,0.841,2663.060,68.937,36.821,5.131,,,,65.095
bar,3D,0.257,0.726,3210.540,55.091,18.736,2.830,,,,77.426
bas,3D,0.187,0.784,3902.430,66.096,36.771,4.188,,,,103.577
bat,3D,0.158,0.828,3265.440,75.252,48.798,5.250,,,,90.9
baw,3D,0.342,0.647,2909.620,32.474,24.394,1.893,,,,72.623
bax,3D,0.305,0.699,2569.350,#N/A,#N/A,2.293,,,,69.408
bby,3D,0.210,0.761,3791.860,62.486,59.545,3.621,,,,103.919
bbz,3D,0.209,0.758,4061.780,62.497,59.575,3.627,,,,120.389
bca,3D,0.209,0.765,3650.620,63.773,61.510,3.668,,,,98.536
bcj,3D,0.172,0.820,3209.250,43.924,39.447,4.760,,,,74.201
bcq,3D,0.355,0.587,4102.450,21.994,14.500,1.652,,,,102.719
bcut,3D,0.327,0.668,2756.950,56.180,25.283,2.040,,,,68.261
bcv,3D,0.368,0.617,2974.920,32.987,20.816,1.680,,,,71.966
bcy,3D,0.315,0.649,3651.740,30.772,27.928,2.056,,,,91.012
bcz,3D,0.379,0.564,3958.140,21.185,13.736,1.490,,,,100.983
bnnt,3D,0.279,0.688,3562.100,50.450,33.133,2.466,,,,94.872
bzd,3D,0.196,0.786,3268.520,93.721,91.041,3.999,,,,100.167
cald,3D,0.310,0.630,4312.740,30.260,14.831,2.035,,,,118.12
cbd,3D,0.360,0.584,3999.330,26.395,13.600,1.624,,,,99.705
cfd,3D,0.912,0.179,1499.180,13.351,6.173,0.196,,,,107.463
cha,3D,0.264,0.690,4114.710,32.466,20.545,2.612,,,,116.762
cla,3D,0.321,0.618,4254.420,27.656,14.080,1.929,,,,110.088
cmc,3D,0.234,0.739,3617.090,58.569,56.057,3.164,,,,99.308
cssa,3D,1.112,0.080,822.801,10.096,4.638,0.072,19.244,8.204,Calculated,45.651
ctta,3D,0.402,0.592,2900.710,26.557,16.104,1.473,,,,68.424
dtc,3D,0.226,0.730,4248.500,61.746,59.416,3.237,,,,126.05
dtd,3D,0.210,0.773,3233.640,84.472,82.478,3.683,,,,93.961
